fftBuffer[0].real, 0xC160, ,C160,49504
fftBuffer[0].imag, 0x0000, ,0000,0
fftBuffer[1].real, 0x0020, ,0020,32
fftBuffer[1].imag, 0x0000, ,0000,0
fftBuffer[2].real, 0x0000, ,0000,0
fftBuffer[2].imag, 0x0000, ,0000,0
fftBuffer[3].real, 0x0000, ,0000,0
fftBuffer[3].imag, 0x0000, ,0000,0
fftBuffer[4].real, 0x0020, ,0020,32
fftBuffer[4].imag, 0xFFE0, ,FFE0,65504
fftBuffer[5].real, 0x0020, ,0020,32
fftBuffer[5].imag, 0x0020, ,0020,32
fftBuffer[6].real, 0x0020, ,0020,32
fftBuffer[6].imag, 0x0000, ,0000,0
fftBuffer[7].real, 0x0020, ,0020,32
fftBuffer[7].imag, 0x0000, ,0000,0
fftBuffer[8].real, 0xFFEA, ,FFEA,65514
fftBuffer[8].imag, 0xFFEA, ,FFEA,65514
fftBuffer[9].real, 0x0016, ,0016,22
fftBuffer[9].imag, 0x0016, ,0016,22
fftBuffer[10].real, 0x0000, ,0000,0
fftBuffer[10].imag, 0x0000, ,0000,0
fftBuffer[11].real, 0x0000, ,0000,0
fftBuffer[11].imag, 0x0000, ,0000,0
fftBuffer[12].real, 0x0000, ,0000,0
fftBuffer[12].imag, 0x0000, ,0000,0
fftBuffer[13].real, 0x0000, ,0000,0
fftBuffer[13].imag, 0x0000, ,0000,0
fftBuffer[14].real, 0x0000, ,0000,0
fftBuffer[14].imag, 0x0000, ,0000,0
fftBuffer[15].real, 0x0000, ,0000,0
fftBuffer[15].imag, 0x0000, ,0000,0
fftBuffer[16].real, 0x0020, ,0020,32
fftBuffer[16].imag, 0xFF60, ,FF60,65376
fftBuffer[17].real, 0x0020, ,0020,32
fftBuffer[17].imag, 0x0006, ,0006,6
fftBuffer[18].real, 0x0020, ,0020,32
fftBuffer[18].imag, 0x000D, ,000D,13
fftBuffer[19].real, 0x0020, ,0020,32
fftBuffer[19].imag, 0x000D, ,000D,13
fftBuffer[20].real, 0x0031, ,0031,49
fftBuffer[20].imag, 0xFFF6, ,FFF6,65526
fftBuffer[21].real, 0x000F, ,000F,15
fftBuffer[21].imag, 0x004A, ,004A,74
fftBuffer[22].real, 0x0020, ,0020,32
fftBuffer[22].imag, 0x0020, ,0020,32
fftBuffer[23].real, 0x0020, ,0020,32
fftBuffer[23].imag, 0x0020, ,0020,32
fftBuffer[24].real, 0xFFF8, ,FFF8,65528
fftBuffer[24].imag, 0xFFD8, ,FFD8,65496
fftBuffer[25].real, 0x001A, ,001A,26
fftBuffer[25].imag, 0xFFFB, ,FFFB,65531
fftBuffer[26].real, 0x0036, ,0036,54
fftBuffer[26].imag, 0x0016, ,0016,22
fftBuffer[27].real, 0x0036, ,0036,54
fftBuffer[27].imag, 0x0016, ,0016,22
fftBuffer[28].real, 0x0002, ,0002,2
fftBuffer[28].imag, 0xFFF4, ,FFF4,65524
fftBuffer[29].real, 0x003D, ,003D,61
fftBuffer[29].imag, 0x000C, ,000C,12
fftBuffer[30].real, 0x0020, ,0020,32
fftBuffer[30].imag, 0x0000, ,0000,0
fftBuffer[31].real, 0x0020, ,0020,32
fftBuffer[31].imag, 0x0000, ,0000,0
fftBuffer[32].real, 0x00A0, ,00A0,160
fftBuffer[32].imag, 0xFF11, ,FF11,65297
fftBuffer[33].real, 0x0008, ,0008,8
fftBuffer[33].imag, 0xFFF3, ,FFF3,65523
fftBuffer[34].real, 0x0019, ,0019,25
fftBuffer[34].imag, 0x0010, ,0010,16
fftBuffer[35].real, 0x0019, ,0019,25
fftBuffer[35].imag, 0x0010, ,0010,16
fftBuffer[36].real, 0xFFFE, ,FFFE,65534
fftBuffer[36].imag, 0xFFF0, ,FFF0,65520
fftBuffer[37].real, 0x0014, ,0014,20
fftBuffer[37].imag, 0xFFFF, ,FFFF,65535
fftBuffer[38].real, 0x0009, ,0009,9
fftBuffer[38].imag, 0xFFF7, ,FFF7,65527
fftBuffer[39].real, 0x0009, ,0009,9
fftBuffer[39].imag, 0xFFF7, ,FFF7,65527
fftBuffer[40].real, 0x003E, ,003E,62
fftBuffer[40].imag, 0xFFE7, ,FFE7,65511
fftBuffer[41].real, 0x0024, ,0024,36
fftBuffer[41].imag, 0x0005, ,0005,5
fftBuffer[42].real, 0x000E, ,000E,14
fftBuffer[42].imag, 0x004A, ,004A,74
fftBuffer[43].real, 0x000E, ,000E,14
fftBuffer[43].imag, 0x0049, ,0049,73
fftBuffer[44].real, 0x0017, ,0017,23
fftBuffer[44].imag, 0xFFF4, ,FFF4,65524
fftBuffer[45].real, 0x0029, ,0029,41
fftBuffer[45].imag, 0x004C, ,004C,76
fftBuffer[46].real, 0x0020, ,0020,32
fftBuffer[46].imag, 0x0020, ,0020,32
fftBuffer[47].real, 0x0020, ,0020,32
fftBuffer[47].imag, 0x0020, ,0020,32
fftBuffer[48].real, 0xFFDB, ,FFDB,65499
fftBuffer[48].imag, 0xFFBB, ,FFBB,65467
fftBuffer[49].real, 0x0015, ,0015,21
fftBuffer[49].imag, 0xFFF5, ,FFF5,65525
fftBuffer[50].real, 0x001A, ,001A,26
fftBuffer[50].imag, 0xFFFB, ,FFFB,65531
fftBuffer[51].real, 0x001A, ,001A,26
fftBuffer[51].imag, 0xFFFB, ,FFFB,65531
fftBuffer[52].real, 0x002B, ,002B,43
fftBuffer[52].imag, 0xFFDC, ,FFDC,65500
fftBuffer[53].real, 0x0042, ,0042,66
fftBuffer[53].imag, 0x0050, ,0050,80
fftBuffer[54].real, 0x0036, ,0036,54
fftBuffer[54].imag, 0x0016, ,0016,22
fftBuffer[55].real, 0x0036, ,0036,54
fftBuffer[55].imag, 0x0016, ,0016,22
fftBuffer[56].real, 0xFFF7, ,FFF7,65527
fftBuffer[56].imag, 0xFFEF, ,FFEF,65519
fftBuffer[57].real, 0x000E, ,000E,14
fftBuffer[57].imag, 0xFFF9, ,FFF9,65529
fftBuffer[58].real, 0x003E, ,003E,62
fftBuffer[58].imag, 0x000C, ,000C,12
fftBuffer[59].real, 0x003D, ,003D,61
fftBuffer[59].imag, 0x000C, ,000C,12
fftBuffer[60].real, 0x0000, ,0000,0
fftBuffer[60].imag, 0xFFFA, ,FFFA,65530
fftBuffer[61].real, 0x003F, ,003F,63
fftBuffer[61].imag, 0x0006, ,0006,6
fftBuffer[62].real, 0x0020, ,0020,32
fftBuffer[62].imag, 0x0000, ,0000,0
fftBuffer[63].real, 0x0020, ,0020,32
fftBuffer[63].imag, 0x0000, ,0000,0
fftBuffer[64].real, 0x0128, ,0128,296
fftBuffer[64].imag, 0xFF62, ,FF62,65378
fftBuffer[65].real, 0x0018, ,0018,24
fftBuffer[65].imag, 0xFFF3, ,FFF3,65523
fftBuffer[66].real, 0x0008, ,0008,8
