squaredMagnitude[0], 0x1EA4, ,1EA4,7844
squaredMagnitude[1], 0x033A, ,033A,826
squaredMagnitude[2], 0x0004, ,0004,4
squaredMagnitude[3], 0x0040, ,0040,64
squaredMagnitude[4], 0x0004, ,0004,4
squaredMagnitude[5], 0x0029, ,0029,41
squaredMagnitude[6], 0x0004, ,0004,4
squaredMagnitude[7], 0x000A, ,000A,10
squaredMagnitude[8], 0x0003, ,0003,3
squaredMagnitude[9], 0x0006, ,0006,6
squaredMagnitude[10], 0x0003, ,0003,3
squaredMagnitude[11], 0x000C, ,000C,12
squaredMagnitude[12], 0x0003, ,0003,3
squaredMagnitude[13], 0x0002, ,0002,2
squaredMagnitude[14], 0x0003, ,0003,3
squaredMagnitude[15], 0x0003, ,0003,3
squaredMagnitude[16], 0x0003, ,0003,3
squaredMagnitude[17], 0x0000, ,0000,0
squaredMagnitude[18], 0x0002, ,0002,2
squaredMagnitude[19], 0x0001, ,0001,1
squaredMagnitude[20], 0x0002, ,0002,2
squaredMagnitude[21], 0x0004, ,0004,4
squaredMagnitude[22], 0x0002, ,0002,2
squaredMagnitude[23], 0x0001, ,0001,1
squaredMagnitude[24], 0x0001, ,0001,1
squaredMagnitude[25], 0x0000, ,0000,0
squaredMagnitude[26], 0x0001, ,0001,1
squaredMagnitude[27], 0x0000, ,0000,0
squaredMagnitude[28], 0x0001, ,0001,1
squaredMagnitude[29], 0x0000, ,0000,0
squaredMagnitude[30], 0x0001, ,0001,1
squaredMagnitude[31], 0x0001, ,0001,1
squaredMagnitude[32], 0x0001, ,0001,1
squaredMagnitude[33], 0x0000, ,0000,0
squaredMagnitude[34], 0x0001, ,0001,1
squaredMagnitude[35], 0x0000, ,0000,0
squaredMagnitude[36], 0x0001, ,0001,1
squaredMagnitude[37], 0x0001, ,0001,1
squaredMagnitude[38], 0x0001, ,0001,1
squaredMagnitude[39], 0x0000, ,0000,0
squaredMagnitude[40], 0x0000, ,0000,0
squaredMagnitude[41], 0x0001, ,0001,1
squaredMagnitude[42], 0x0000, ,0000,0
squaredMagnitude[43], 0x0003, ,0003,3
squaredMagnitude[44], 0x0000, ,0000,0
squaredMagnitude[45], 0x0002, ,0002,2
squaredMagnitude[46], 0x0000, ,0000,0
squaredMagnitude[47], 0x0000, ,0000,0
squaredMagnitude[48], 0x0000, ,0000,0
squaredMagnitude[49], 0x0000, ,0000,0
squaredMagnitude[50], 0x0000, ,0000,0
squaredMagnitude[51], 0x0000, ,0000,0
squaredMagnitude[52], 0x0000, ,0000,0
squaredMagnitude[53], 0x0000, ,0000,0
squaredMagnitude[54], 0x0000, ,0000,0
squaredMagnitude[55], 0x0000, ,0000,0
squaredMagnitude[56], 0x0000, ,0000,0
squaredMagnitude[57], 0x0000, ,0000,0
squaredMagnitude[58], 0x0000, ,0000,0
squaredMagnitude[59], 0x0000, ,0000,0
squaredMagnitude[60], 0x0000, ,0000,0
